,Head/Neck/Face,LowerExt,Other/Multiple,Trunk,UpperExt,Mean_Abs_Importance
Product_Category_Other,0.09369545747832224,-0.5040291344640135,0.18110470864147726,-0.05239382328350561,0.2816227916277312,0.22256918309900992
Fire_Involvement_3,0.29190692311663075,-0.06949566307968584,0.2125285162169107,-0.33612009041996677,-0.09881968583388283,0.20177417573341536
Location_9,0.22096364569857999,0.15825814436955757,-0.35063275160731167,-0.09506698964892876,0.06647795118811023,0.17827989650249765
Location_4,0.03601203148809966,-0.0802138784271177,0.40007259551595514,-0.17937744643013862,-0.17649330214679942,0.1744338508016221
Age_Category_65-74,-0.148091036506971,-0.0798611879964177,0.07248360296213657,0.33249831711905914,-0.17702969557779932,0.16199276803247675
Disposition_2,0.17398361002990395,-0.10373873837011274,-0.04800991992058223,0.22114000401157316,-0.24337495575078494,0.1580494456165914
Product_Category_Home/Structures,0.1558439186041261,-0.09332016094211192,-0.17194715942260938,-0.11598006564454919,0.22540346740514175,0.15249895440370767
Location_0,-0.009906492167907269,0.1271399284852274,-0.3547496722726066,0.011875459659835271,0.22564077629543586,0.1458624657762025
Product_Category_Sports/Recreation,0.16181994956998286,-0.22315967628426978,-0.08762743414721127,-0.02224063722530262,0.1712077980868071,0.13321109906271472
Location_2,-0.10109682608021778,-0.1127800885238779,-0.02506490516466905,0.32541883821653445,-0.0864770184477668,0.1301675352866132
Location_8,0.22789860743546825,-0.1366008145427565,0.01263917238373542,-0.18008956630473433,0.07615260102829083,0.12667615233899704
Race_4,0.16204434407121376,-0.12070896038987676,0.12057942710818119,-0.16777916191545875,0.005864351125940769,0.11539524892213424
Disposition_5,0.19718057848619924,-0.0690090063845045,-0.022511475160216326,0.0433578181781791,-0.1490179151196632,0.09621535866575248
Sex_2.0,-0.07657110961644777,0.15131802856593424,-0.13595190189367956,0.07121291481112163,-0.01000793186694754,0.08901237735082615
Season_Winter,0.16186893754120912,-0.06147232784729396,0.04280159753152082,-0.07948495666790173,-0.0637132505575219,0.0818682140290895
Season_Summer,0.13299687681222078,0.04258276458835593,0.015964274126333652,-0.14943884487734965,-0.04210507064956149,0.07661756621076429
Sex_1.0,-0.014369689263468943,-0.06409639125270891,-0.09968913914168312,0.08903215087519914,0.08912306878271395,0.0712620878631548
Race_6,0.13793514157674597,0.03371322971755407,-0.035400625090044414,-0.11993961031358492,-0.016308135890671194,0.06865934851772013
Disposition_9,-0.06480717330716582,0.06458708336406423,-0.037409640725021724,-0.054988541200654266,0.09261827186877805,0.06288214209313683
Season_Spring,0.13582014236906503,0.020311250309592455,-0.043065515106243,-0.10682106112052178,-0.006244816451892833,0.062452557071463036
Season_Fall,0.14024462991402925,-0.013181925911181386,0.014467659413834513,-0.12648493976755124,-0.015045423649131008,0.06188491573114548
Race_2,0.031838159021805,0.10223573702720325,-0.0033920203867490563,-0.08240152992091312,-0.04828034574133362,0.053629558419600806
Location_7,0.07574646618250222,0.053313651526055564,-0.00785284511060964,-0.048201118539210205,-0.07300615405873719,0.05162404708342296
Location_1,-0.06939350201363048,-0.011550082225414458,-0.04149658383915774,-0.004462972728547368,0.12690314080674447,0.0507612563226989
Sex_0.0,0.08997284717365368,-0.10131523081658371,0.020739327727864063,-0.020347764940755846,0.010950820855821192,0.048665198302935704
Race_1,0.0614643563239965,-0.049372527016706844,0.03691287553891975,-0.021447055927752506,-0.027557648918475675,0.03935089274517026
Race_3,0.06686996128108534,0.02608727670702684,-0.07853685936809933,-0.019514490631067034,0.005094112011053735,0.03922053999966645
Location_6,-0.024860488319567834,0.08827867235030477,0.00601111394035708,-0.013001459715406902,-0.05642783825568762,0.03771591451626484
Race_0,0.06363136771646422,-0.023929909727675308,0.024718443706665965,-0.01331042065547879,-0.05110948103996513,0.03533992456924988
Race_5,0.04714725664522148,0.02021491482194651,-0.03471322554344216,-0.03783753306907261,0.00518858714534657,0.02902030344500587
Sex_3.0,0.0069101923044697314,-0.015712993384119304,0.0024076743329986953,0.013315136843600089,-0.0069200100969494,0.009053201392427445
